Stars,Review Text,Review Date,Review Usefulness,Random,Sentiment Label,Sentiment Score
5.0 out of 5 stars,"My dog, as much as I love him, sheds like crazy.  I have laminate floors and it has been a constant battle keeping up with the dog hair everywhere.  People with dogs that shed a lot probably know what I'm talking about, dog hair tumbleweeds and such.  I bought this Roomba and it has been a game changer.I run it daily, either when away from home or in the middle of the night via the scheduling feature on the app.  No more constant battle with dog hair for me.  I was skeptical at first because it just seems to go around in random directions but somehow at the end of the cleaning cycle it manages to get all of my main floor.  I put some 1 inch rubber pads under my sofa legs so the Roomba could fit under it where dog hair seems to accumulate and it goes under and cleans it up.Running it daily also seems to cut down on the amount of dusting I have to do.  It runs on average about an hour and 15 minutes.  It goes under and around my tables, and along the baseboards and when done, docks itself to recharge.  I empty the bin daily to prepare it for its next job.  It is somewhat noisy, but not standard vacuum cleaner noisy so even when I run it in the middle of the night it doesn't wake me.  I would say it is about as loud as  coffee grinder when running.Overall, I'm very happy with it.  It's not something that will perform on the level of spring cleaning but I don't think anyone would expect that.  It will keep your floors mostly clean and dog hair free when run on a daily basis.  I've not tried it on carpet so I can't give feedback on that.","Reviewed in the United States on November 29, 2019",3 people found this helpful,1,NEGATIVE,0.9953299164772034
1.0 out of 5 stars,"Roomba confirmed that this product will not work with 5 G networks which ATT is in process of upgrading to. If I bought this and they upgraded tomorrow, I would have a useless Robot. Roomba should have disclosed that with a sub window or something before the purchase. When I asked for a replacement they informed me that it was not 250.00 like the one I bought.  It is 500.00 !!! They have 2 models that will  work with either network.  I spent 2.5 hours between phone time and failed installation and I am not happy and feel deceived. If you intend to buy any robot ask these questions.","Reviewed in the United States on June 19, 2020",3 people found this helpful,1,NEGATIVE,0.9997259974479675
5.0 out of 5 stars,"We've heard nothing but good things from friends and family who have Roombas, so we thought we'd give it a try. The first thing we were told was, ""Make sure you spend the money for the real thing: the others may be a lot cheaper, but they're headaches waiting to happen.""  Okay, fine, but the 675 isn't exactly a bank breaker, especially if you get it during a sale. And if we just made our lives easier AND avoided l'agita for less than $250, that's even better.I don't care about packaging until it's inadequate or off-the-charts excessive, and neither was the case here.The setup was breathtakingly simple - I forgot to breathe for a few seconds when I looked at the unit in the charger and after installing/starting the app, pressing 2 buttons, and naming the robot (""Sucka"" - I know, that's so original), I saw that my phone was reporting that setup was complete.  I thought, ""Really, that's it?  What'd I miss?"" As it turns out, I missed nothing. Easy-peasy.  So, I thought I'd just let it charge overnight and then I'd play with it the next day.The next day, while working in my home office, I started the app and selected ""Vacuum Everywhere"".  I heard it wake up with cheerful little beeps and start working.  It really isn't too loud, so between meetings I followed the sound, coffee in hand, to watch it work.  I was kind of fun to watch it careening around like a drunken toddler, gently crashing into stuff and bouncing counter-clockwise until it could move again. I half-expected it to exclaim, ""Uh-oh!""  And if something was light enough, it just pushed it around until it hit something solid enough to make it bounce.  I wish I'd waited until after working hours so that I could watch it with an adult beverage or two.  The 14-year-old in me is definitely going to set up some obstacle tests.Like any toddler, it requires a little bit of supervision. It got stuck on a thick power cable beneath a bed, so it beeped, called out with a voice to ask for help, and alerted my phone app; I rescued it and sent it on its way.  (Note to 14-yr-old-self: see if there's a way to hack the firmware to change the voice alerts to something really wrong. Maybe a toddler-like voice yelling, ""Aw, s**t!"" or ""FML!"")Also like a toddler, it eventually needs a diaper change and a feeding/nap. After a while, I had to empty the dust bin and pull some hair off of the brushes and wheels, so I put it back on the charger for a bit.  So, it's napping right now. After lunch, I'll fire it up again and see if it finds its way into my office.It may need some decoration, too.  Maybe some googly-eyes and a rude bumper sticker? Or a tiny pirate flag flying from the rear?So, for the important part: does it clean well?Yes. Judging from look of the floors and the amount of crud in the dustbin, it does a solid job.  And, apparently, I don't: my weekly floor sweeping/Bona mopping appears to be missing some stuff.Ah, the app tells me that it's already back to full charge (just under 2 hours!), so I'm gonna turn Sucka loose again.","Reviewed in the United States on September 30, 2020",3 people found this helpful,1,NEGATIVE,0.9980670213699341
4.0 out of 5 stars,"I bought this Roomba 675 when it was on sale on Amazon for $200 back in January. It’s a “manual” model (no fancy home-mapping feature), which was just right for finding out whether or not this concept would work for us. It didn’t hurt that it was recommended by The Wirecutter.After running it on manual over the first weekend, I set up a Monday - Wednesday – Friday schedule. By Wednesday of week one, I noticed that the dirt cup was completely full every time, so I expanded the schedule to every day of the week except Sunday.For the balance of week one through Monday of week two, the dirt cup continued to be full at the end of the run. On Tuesday and Wednesday of this week, the dirt cup was less than half full on both days, so I reverted back to the MWF schedule. The dirt cup was only about a third full after it ran on Friday.It looks like we’re finally getting caught up with cleaning the floors downstairs after about a week and a half of running the Roomba almost every day. If the amount of dirt in the cup continues to go down next week, I may cut back to a twice a week schedule.So far, I’m perfectly happy with this model, even if I do occasionally have to get it unstuck or help it find its way back to its charging station before it runs out of battery power. Our downstairs floor is cleaner than it’s been since right after we moved in over two years ago. I don’t think that we need either the whole-house mapping or self-emptying features of the more-expensive models.I have no illusions about never having to use our upright vacuum cleaner again, as the carpets and rugs will need periodic deep cleaning, and there will always be places that the Roomba won’t be able to get to. Manually emptying the dirt cup after each run gives me useful feedback on the efficacy of the current schedule, as well as giving me the opportunity to vacuum off the dirt filter each time (to extend the useful life past he recommended 1 month).Note that I work from home, so I’m here to keep an ear on the Roomba while it’s moving around the house. As it gets stuck about once every time it runs, I’d definitely say that YMMV if you’re planning on running it when you’re not at home (and depending on how many “robot traps” you have).I have noticed that how long it can work depends on where its random path algorithm takes it. The more time it spends on carpeted areas, the shorter the run time—about 70 minutes if it’s staying on carpet, compared to about 80+ minutes on tile or wood flooring.Installing the iRobot Home phone app was a big help, both for the initial setup and for controlling the Roomba. It also generates push notifications if the Roomba gets stuck or confused and needs assistance to resume cleaning.","Reviewed in the United States on May 30, 2020",3 people found this helpful,1,POSITIVE,0.851760983467102
1.0 out of 5 stars,"This is driving me crazy.  The job is finished, it tries to dock maybe once or twice but fails so off it goes again not to return.  I have tried placing it on the dock.  It sits for a second then off it goes again.  My husband has tried securing the base several different ways but no luck.  Im so mad right now I was ready to throw it out the window.Also very loud so there is no way to talk during its cleaning and free flowing sessions.","Reviewed in the United States on January 26, 2019",3 people found this helpful,1,NEGATIVE,0.9993091225624084
5.0 out of 5 stars,"Your browser does not support HTML5 video.


   We recently replaced much of our carpeting with LVT. After a few days, we noticed dog hair everywhere, especially along the walls. We never realized how the carpeting hid the dog hair. Since we don’t want to sweep several times a day, we decided to buy a Roomba. After reading the reviews of the 694 and other brands, I opted for the 694.We got it today. I plugged it in to charge, downloaded the app and proceeded to set it up. Set up mainly consists of connecting it to your router. You can set up different cleaning routines for different areas of your house or just let it explore.For its maiden voyage, we had it vacuum the dining room. It is raised about 7 inches above the living room and is a distinct separate area. Ideal for a test trial. I created the favorite, Vacuum Dining Room, which just consists of giving it a name and putting Roomba in the room with its base. I started the routine from my iPad and it came out of its base. I quickly realized I needed to pull out the chairs from the table so it could get under them. And, you need to make sure there is enough room for it to get into every area of the room where you want it to clean.The video shows Roomba cleaning the dining room. My husband and I really enjoyed watching it and watching it learn. It got stuck once when it nearly fell off the raised area. It called for help and requested it be moved to another area. I picked it up, put it down and off it went. When it was done, it went to its garage and announced it was done.We decided to give it a shot in a bigger area which included the LVT.While our dog totally ignored it when it was in the dining room, she perked up when it started cleaning in the living room. The photo shows our dog watching it, half asleep. Interestingly, when it headed towards her, our dog just got up and stepped out of the way. Right now it is about 60 feet away cleaning the laundry room. The battery indicator is red and it should be coming home soon. It’s smart so I think it will find its way.Well, Roomba ran out of gas! It sent a message saying it needed to be returned to the base station. We finally found it in a corner of the laundry room, exhausted, near death. After emptying the dust bin, we carried it back to the base station. It is charging now. We will let it fully charge before sending it out again.It is a great device. My only criticism it that it doesn’t alert you when the dust bin needs emptying. So, it can keep running around, unable to pick up more. We do have a very large house, so this may not be a problem for most.","Reviewed in the United States on June 28, 2021",3 people found this helpful,1,NEGATIVE,0.9931678771972656
5.0 out of 5 stars,"Use every day for cat hair, litter, and general dust.  Love that it goes under my bed, coffee table, and dining room table.  It also glides over area rugs and goes on to clean porcelain floors.  Works well on all of my carpeted rooms.  It is such a time saver and the floors are always clean.  Can’t live without it.","Reviewed in the United States on June 22, 2019",3 people found this helpful,1,POSITIVE,0.9994910359382629
3.0 out of 5 stars,"Pros: amazing vacuum. It picked up so much on its first run.Cons: it’s so much work to follow it around when it gets stuck. It also misses so much. I genuinely bought this just for the location where my cats’ litter box is. I would have thought that it would develop a pattern of vacuuming, but no it’s a complete pinball machine of a vacuum. I’ve had to lock it in the bathroom a few times just to get it to clean decently.I’ve ran it three times so far. Each time for a half hour. It’s consistently missed the same room each time.It’s very loud which wouldn’t be a big deal but it looks like it would have to run for over an hour to clean my small apartment. The noise terrifies my cats and it’s just not worth it.At this point I’m considering returning it for a wireless vacuum.","Reviewed in the United States on March 16, 2021",3 people found this helpful,1,NEGATIVE,0.9988738894462585
1.0 out of 5 stars,"This “vacuum” is a joke. You’d think the originator of robot vacuums would be the best but I’ve now bought and returned 4, 1 being this one. It is louder than any other brand, picks up the least and has zero organization or room pattern.ECOVACS deebot ended up being a life saver. Don’t waste your time with anything roomba 🤮","Reviewed in the United States on August 3, 2020",3 people found this helpful,1,NEGATIVE,0.9989692568778992
5.0 out of 5 stars,"My husband insisted we should get one.He picked this kne out.  Maybe he was subtly trying to tell me something?I wasn't sure what to think- but I like this thing!  The first couple of uses I wasn't sure how it was going to work out because it took quite a while to get the area done.  But the AI seems solid.  So now it has learned the layout and has cut the cleaning time in half.The App is really useful.  It has let us know when the irobot has become stuck. We have set it to go off in the morning every other day.  Definitely pick up everything from the floor! (Might be a good way to get the kids to pick up their toys) also close doors to any place you dont want it to go.  Block access to small spaces it could get stuck under.Lol for me, I had a really low bar of expectation it had to meet - I just wanted it to make it back to its docking station! - but the bar was met.My only complaint is that the charging cord is a little lose at the charging station.  But it has not been a problem.","Reviewed in the United States on September 29, 2020",3 people found this helpful,1,POSITIVE,0.9975457191467285
